Player,Pos,Opp,Pts,Pass_Att,Cmp,Pass_Yds,Pass_TD,Int,Pass_2Pt,Rush_Att,Rush_Yds,Rush_TD,Rush_2Pt,Rec,Rec_Yds,Rec_TD,Rec_2Pt,FL,TD,Week,
Dak Prescott,QB,vs GB,36.00,40,31,319,3,0,0,1,2,1,0,0,0,0,0,0,0,4,
Patrick Mahomes,QB,vs BAL,34.00,37,25,270,4,0,0,4,5,0,0,0,0,0,0,0,0,4,
Ashton Jeanty,RB,vs CHI,33.00,0,0,0,0,0,0,21,138,1,0,2,17,2,0,1,0,4,
George Pickens,WR,vs GB,33.00,0,0,0,0,0,0,0,0,0,0,8,134,2,0,0,0,4,
Matthew Stafford,QB,vs IND,33.00,41,29,375,3,0,0,4,4,0,0,0,0,0,0,0,0,4,
Jordan Love,QB,@ DAL,32.00,43,31,337,3,0,0,3,28,0,0,0,0,0,0,1,0,4,
Josh Jacobs,RB,@ DAL,31.00,0,0,0,0,0,0,22,86,2,0,4,71,0,0,0,0,4,
Justin Fields,QB,@ MIA,30.00,27,20,226,1,0,0,7,81,1,1,0,0,0,0,1,0,4,
Kenny Gainwell,RB,vs MIN,30.00,0,0,0,0,0,0,19,99,2,0,6,35,0,0,0,0,4,
Romeo Doubs,WR,@ DAL,29.00,0,0,0,0,0,0,0,0,0,0,6,58,3,0,0,0,4,
Bo Nix,QB,vs CIN,29.00,42,29,326,2,1,0,6,7,1,0,0,0,0,0,0,0,4,
Josh Allen,QB,vs NO,28.00,22,16,209,2,1,0,7,45,1,0,0,0,0,0,0,0,4,
Justice Hill,RB,@ KC,28.00,0,0,0,0,0,0,3,76,1,0,5,41,1,0,0,0,4,
Jo'quavious Marks,RB,vs TEN,27.00,0,0,0,0,0,0,17,69,1,0,4,50,1,0,0,0,4,
Drake Maye,QB,vs CAR,27.00,17,14,203,2,0,0,3,11,1,0,0,0,0,0,0,0,4,
Bijan Robinson,RB,vs WAS,27.00,0,0,0,0,0,0,17,75,1,0,4,106,0,0,0,0,4,
Omarion Hampton,RB,@ NYG,26.00,0,0,0,0,0,0,12,128,1,0,5,37,0,0,0,0,4,
Mar'Keise Irving,RB,vs PHI,26.00,0,0,0,0,0,0,15,63,0,0,5,102,1,0,1,0,4,
Amon-Ra St.,WR,vs CLE,26.00,0,0,0,0,0,0,0,0,0,0,7,70,2,0,0,0,4,
Drake London,WR,vs WAS,25.00,0,0,0,0,0,0,0,0,0,0,8,110,1,0,0,0,4,
Christian McCaffrey,RB,vs JAX,25.00,0,0,0,0,0,0,17,49,0,0,6,92,1,0,0,0,4,
Carson Wentz,QB,@ PIT,25.00,46,30,350,2,2,1,2,12,0,0,0,0,0,0,0,0,4,
Jalen Hurts,QB,@ TB,23.00,24,15,130,2,0,0,9,62,0,0,0,0,0,0,0,0,4,
Quentin Johnston,WR,@ NYG,23.00,0,0,0,0,0,0,0,0,0,0,8,98,1,0,0,0,4,
D.K. Metcalf,WR,vs MIN,23.00,0,0,0,0,0,0,0,0,0,0,5,126,1,0,0,0,4,
Justin Jefferson,WR,@ PIT,22.00,0,0,0,0,0,0,0,0,0,0,10,126,0,0,0,0,4,
Baker Mayfield,QB,vs PHI,22.00,40,22,289,2,1,0,2,13,0,0,0,0,0,0,0,0,4,
Michael Penix,QB,vs WAS,22.00,26,20,313,2,1,0,4,2,0,0,0,0,0,0,0,0,4,
Brock Purdy,QB,vs JAX,22.00,38,22,309,2,2,1,2,13,0,0,0,0,0,0,1,0,4,
C.J. Stroud,QB,vs TEN,22.00,28,22,233,2,0,0,4,11,0,0,0,0,0,0,0,0,4,
James Cook,RB,vs NO,21.00,0,0,0,0,0,0,22,117,1,0,3,18,0,0,0,0,4,
Jaxson Dart,QB,vs LAC,21.00,20,13,111,1,0,0,10,54,1,0,0,0,0,0,0,0,4,
Quinshon Judkins,RB,@ DET,21.00,0,0,0,0,0,0,21,82,1,0,4,33,0,0,0,0,4,
Emeka Egbuka,WR,vs PHI,20.00,0,0,0,0,0,0,1,0,0,0,4,101,1,0,0,0,4,
Marcus Mariota,QB,@ ATL,20.00,27,16,156,2,1,1,2,20,0,0,0,0,0,0,0,0,4,
Kyler Murray,QB,vs SEA,20.00,41,27,200,2,2,0,5,41,0,0,0,0,0,0,0,0,4,
Garrett Wilson,WR,@ MIA,20.00,0,0,0,0,0,0,0,0,0,0,6,82,1,0,0,0,4,
Travis Etienne,RB,@ SF,19.00,0,0,0,0,0,0,19,124,1,0,1,1,0,0,0,0,4,
Dallas Goedert,TE,@ TB,19.00,0,0,0,0,0,0,0,0,0,0,4,37,2,0,0,0,4,
RJ Harvey,RB,vs CIN,19.00,0,0,0,0,0,0,14,58,0,0,4,40,1,0,0,0,4,
Marvin Mims,WR,vs CIN,19.00,0,0,0,0,0,0,1,16,1,0,6,69,0,0,0,0,4,
Deebo Samuel,WR,@ ATL,19.00,0,0,0,0,0,0,3,9,0,0,6,72,1,0,0,0,4,
Courtland Sutton,WR,vs CIN,19.00,0,0,0,0,0,0,0,0,0,0,5,81,1,0,0,0,4,
Tua Tagovailoa,QB,vs NYJ,19.00,25,17,177,2,0,0,3,6,0,0,0,0,0,0,0,0,4,
Marvin Harrison,WR,vs SEA,18.00,0,0,0,0,0,0,0,0,0,0,6,66,1,0,0,0,4,
Kyle Pitts,TE,vs WAS,18.00,0,0,0,0,0,0,0,0,0,0,5,70,1,0,0,0,4,
Tyler Warren,TE,@ LA,18.00,0,0,0,0,0,0,2,3,1,0,5,70,0,0,0,0,4,
Javonte Williams,RB,vs GB,18.00,0,0,0,0,0,0,20,85,1,0,3,15,0,0,0,0,4,
Saquon Barkley,RB,@ TB,17.00,0,0,0,0,0,0,19,43,1,0,4,31,0,0,0,0,4,
Sam Darnold,QB,@ ARI,17.00,26,18,242,1,0,0,1,24,0,0,0,0,0,0,0,0,4,
Jake Ferguson,TE,vs GB,17.00,0,0,0,0,0,0,0,0,0,0,7,40,1,0,0,0,4,
Jahmyr Gibbs,RB,vs CLE,17.00,0,0,0,0,0,0,15,91,1,0,2,6,0,0,0,0,4,
Khalil Shakir,WR,vs NO,17.00,0,0,0,0,0,0,0,0,0,0,5,69,1,0,0,0,4,
Darren Waller,TE,vs NYJ,17.00,0,0,0,0,0,0,0,0,0,0,3,27,2,0,0,0,4,
De'Von Achane,RB,vs NYJ,16.00,0,0,0,0,0,0,20,99,1,0,1,2,0,0,0,0,4,
Stefon Diggs,WR,vs CAR,16.00,0,0,0,0,0,0,0,0,0,0,6,101,0,0,0,0,4,
Jared Goff,QB,vs CLE,16.00,27,16,168,2,1,0,0,0,0,0,0,0,0,0,0,0,4,
Breece Hall,RB,@ MIA,16.00,0,0,0,0,0,0,14,81,0,0,5,30,0,0,0,0,4,
Rome Odunze,WR,@ LV,16.00,0,0,0,0,0,0,0,0,0,0,4,69,1,0,0,0,4,
Zavier Scott,RB,@ PIT,16.00,0,0,0,0,0,0,2,1,0,0,6,43,1,0,0,0,4,
Xavier Worthy,WR,vs BAL,16.00,0,0,0,0,0,0,2,38,0,0,5,83,0,0,0,0,4,
Davante Adams,WR,vs IND,15.00,0,0,0,0,0,0,0,0,0,0,4,56,1,0,0,0,4,
Jordan Addison,WR,@ PIT,15.00,0,0,0,0,0,0,0,0,0,0,4,114,0,0,0,0,4,
Chatarius Atwell,WR,vs IND,15.00,0,0,0,0,0,0,0,0,0,0,1,88,1,0,0,0,4,
Michael Pittman,WR,@ LA,15.00,0,0,0,0,0,0,0,0,0,0,5,41,1,0,0,0,4,
Spencer Rattler,QB,@ BUF,15.00,27,18,126,1,0,0,6,49,0,0,0,0,0,0,0,0,4,
D'Andre Swift,RB,@ LV,15.00,0,0,0,0,0,0,14,38,1,0,4,22,0,0,0,0,4,
Tommy Tremble,TE,@ NE,15.00,0,0,0,0,0,0,0,0,0,0,5,42,1,0,0,0,4,
Zay Flowers,WR,@ KC,14.00,0,0,0,0,0,0,0,0,0,0,7,74,0,0,0,0,4,
Justin Herbert,QB,@ NYG,14.00,41,23,203,1,2,0,1,24,0,1,0,0,0,0,0,0,4,
Aaron Rodgers,QB,vs MIN,14.00,22,18,200,1,0,0,3,8,0,0,0,0,0,0,0,0,4,
Jonathan Taylor,RB,@ LA,14.00,0,0,0,0,0,0,17,76,0,0,5,20,0,0,0,0,4,
Jake Tonges,TE,vs JAX,14.00,0,0,0,0,0,0,0,0,0,0,3,58,1,0,0,0,4,
Geno Smith,QB,vs CHI,13.00,21,14,117,2,3,0,4,31,0,0,0,0,0,0,0,0,4,
JuJu Smith-Schuster,WR,vs BAL,13.00,0,0,0,0,0,0,0,0,0,0,4,36,1,0,0,0,4,
Caleb Williams,QB,@ LV,13.00,37,22,212,1,1,0,8,13,0,0,0,0,0,0,0,0,4,
AJ Barner,TE,@ ARI,12.00,0,0,0,0,0,0,0,0,0,0,3,32,1,0,0,0,4,
Marquise Brown,WR,vs BAL,12.00,0,0,0,0,0,0,0,0,0,0,3,38,1,0,0,0,4,
TreVeyon Henderson,RB,vs CAR,12.00,0,0,0,0,0,0,7,32,1,0,2,14,0,0,0,0,4,
Tyreek Hill,WR,vs NYJ,12.00,0,0,0,0,0,0,0,0,0,0,6,67,0,0,0,0,4,
Lamar Jackson,QB,@ KC,12.00,20,14,147,1,1,0,6,48,0,0,0,0,0,0,1,0,4,
Daniel Jones,QB,@ LA,12.00,33,24,262,1,2,0,1,-1,0,0,0,0,0,0,0,0,4,
Trevor Lawrence,QB,@ SF,12.00,31,21,174,1,0,0,7,7,0,0,0,0,0,0,0,0,4,
Trey McBride,TE,vs SEA,12.00,0,0,0,0,0,0,0,0,0,0,7,52,0,0,0,0,4,
Kendre Miller,RB,@ BUF,12.00,0,0,0,0,0,0,11,65,1,0,0,0,0,0,0,0,4,
Isiah Pacheco,RB,vs BAL,12.00,0,0,0,0,0,0,7,35,0,0,2,13,1,0,0,0,4,
Cam Skattebo,RB,vs LAC,12.00,0,0,0,0,0,0,25,79,0,1,2,11,0,0,0,0,4,
Jaxon Smith-Njigba,WR,@ ARI,12.00,0,0,0,0,0,0,3,11,0,0,4,79,0,0,0,0,4,
Bryce Young,QB,@ NE,12.00,30,18,150,1,0,0,1,3,0,0,0,0,0,0,0,0,4,
Tyler Allgeier,RB,vs WAS,11.00,0,0,0,0,0,0,16,51,1,0,0,0,0,0,0,0,4,
Zach Charbonnet,RB,@ ARI,11.00,0,0,0,0,0,0,12,39,1,0,2,5,0,0,0,0,4,
Nico Collins,WR,vs TEN,11.00,0,0,0,0,0,0,0,0,0,0,4,79,0,0,0,0,4,
J.K. Dobbins,RB,vs CIN,11.00,0,0,0,0,0,0,16,101,0,0,1,4,0,0,0,0,4,
Mitchell Evans,TE,@ NE,11.00,0,0,0,0,0,0,0,0,0,0,3,23,1,0,0,0,4,
Hunter Henry,TE,vs CAR,11.00,0,0,0,0,0,0,0,0,0,0,2,39,1,0,0,0,4,
Alvin Kamara,RB,@ BUF,11.00,0,0,0,0,0,0,15,70,0,0,4,2,0,0,0,0,4,
Hunter Long,TE,@ SF,11.00,0,0,0,0,0,0,0,0,0,0,3,23,1,0,0,0,4,
Adonai Mitchell,WR,@ LA,11.00,0,0,0,0,0,0,0,0,0,0,3,96,0,0,1,0,4,
Mason Taylor,TE,@ MIA,11.00,0,0,0,0,0,0,0,0,0,0,5,65,0,0,0,0,4,
Kenneth Walker,RB,@ ARI,11.00,0,0,0,0,0,0,19,81,0,0,1,29,0,0,0,0,4,
Mark Andrews,TE,@ KC,10.00,0,0,0,0,0,0,0,0,0,0,7,30,0,0,0,0,4,
Chase Brown,RB,@ DEN,10.00,0,0,0,0,0,0,10,40,0,0,3,31,0,0,0,0,4,
Matthew Golden,WR,@ DAL,10.00,0,0,0,0,0,0,1,5,0,0,5,58,0,0,0,0,4,
Theo Johnson,TE,vs LAC,10.00,0,0,0,0,0,0,0,0,0,0,3,17,1,0,0,0,4,
Tucker Kraft,TE,@ DAL,10.00,0,0,0,0,0,0,0,0,0,0,5,56,0,0,0,0,4,
Luke McCaffrey,WR,@ ATL,10.00,0,0,0,0,0,0,0,0,0,0,2,21,1,0,0,0,4,
Tetairoa McMillan,WR,@ NE,10.00,0,0,0,0,0,0,0,0,0,0,4,62,0,0,0,0,4,
Tony Pollard,RB,@ HOU,10.00,0,0,0,0,0,0,14,64,0,0,3,12,0,0,0,0,4,
Brenton Strange,TE,@ SF,10.00,0,0,0,0,0,0,0,0,0,0,6,45,0,0,0,0,4,
Jalen Tolbert,WR,vs GB,10.00,0,0,0,0,0,0,0,0,0,0,4,61,0,0,0,0,4,
Kyren Williams,RB,vs IND,10.00,0,0,0,0,0,0,13,77,0,0,3,17,0,0,1,0,4,
Emanuel Wilson,RB,@ DAL,10.00,0,0,0,0,0,0,8,44,0,0,3,37,0,0,0,0,4,
Trey Benson,RB,vs SEA,9.00,0,0,0,0,0,0,8,35,0,0,5,19,0,0,0,0,4,
Brock Bowers,TE,vs CHI,9.00,0,0,0,0,0,0,0,0,0,0,5,46,0,0,0,0,4,
Emari Demercado,RB,vs SEA,9.00,0,0,0,0,0,0,2,8,0,0,2,13,1,0,0,0,4,
Troy Franklin,WR,vs CIN,9.00,0,0,0,0,0,0,0,0,0,0,4,55,0,0,0,0,4,
Jayden Higgins,WR,vs TEN,9.00,0,0,0,0,0,0,0,0,0,0,1,24,1,0,0,0,4,
Chuba Hubbard,RB,@ NE,9.00,0,0,0,0,0,0,10,49,0,0,3,20,0,0,0,0,4,
Travis Kelce,TE,vs BAL,9.00,0,0,0,0,0,0,0,0,0,0,5,48,0,0,0,0,4,
Dalton Kincaid,TE,vs NO,9.00,0,0,0,0,0,0,0,0,0,0,1,28,1,0,0,0,4,
Jordan Mason,RB,@ PIT,9.00,0,0,0,0,0,0,16,57,0,0,3,15,0,0,0,0,4,
Jalen Nailor,WR,@ PIT,9.00,0,0,0,0,0,0,0,0,0,0,1,2,1,1,0,0,4,
Chris Olave,WR,@ BUF,9.00,1,0,0,0,1,0,0,0,0,0,3,20,1,0,0,0,4,
Brian Thomas,WR,@ SF,9.00,0,0,0,0,0,0,1,7,0,0,5,49,0,0,0,0,4,
Olamide Zaccheaus,WR,@ LV,9.00,0,0,0,0,0,0,0,0,0,0,5,41,0,0,0,0,4,
Keenan Allen,WR,@ NYG,8.00,0,0,0,0,0,0,0,0,0,0,5,37,0,0,0,0,4,
Isaiah Bond,WR,@ DET,8.00,0,0,0,0,0,0,0,0,0,0,3,58,0,0,0,0,4,
Andy Dalton,QB,@ NE,8.00,6,5,58,1,0,0,0,0,0,0,0,0,0,0,0,0,4,
Antonio Gibson,RB,vs CAR,8.00,0,0,0,0,0,0,6,27,1,0,0,0,0,0,0,0,4,
Raheem Mostert,RB,vs CHI,8.00,0,0,0,0,0,0,4,62,0,0,1,11,0,0,0,0,4,
Ricky Pearsall,WR,vs JAX,8.00,0,0,0,0,0,0,0,0,0,0,4,46,0,0,0,0,4,
Dalton Schultz,TE,vs TEN,8.00,0,0,0,0,0,0,0,0,0,0,5,30,0,0,0,0,4,
Rashid Shaheed,WR,@ BUF,8.00,0,0,0,0,0,0,2,5,0,0,4,47,0,0,0,0,4,
Tyquan Thornton,WR,vs BAL,8.00,0,0,0,0,0,0,0,0,0,0,1,11,1,0,0,0,4,
Ja'Marr Chase,WR,@ DEN,7.00,0,0,0,0,0,0,0,0,0,0,5,23,0,0,0,0,4,
Nick Chubb,RB,vs TEN,7.00,0,0,0,0,0,0,13,47,0,0,2,15,0,0,0,0,4,
Keon Coleman,WR,vs NO,7.00,0,0,0,0,0,0,0,0,0,0,3,45,0,0,0,0,4,
Jacory Croskey-Merritt,RB,@ ATL,7.00,0,0,0,0,0,0,7,47,0,0,2,10,0,0,0,0,4,
Greg Dortch,WR,vs SEA,7.00,0,0,0,0,0,0,1,4,0,0,4,35,0,0,0,0,4,
Derrick Henry,RB,@ KC,7.00,0,0,0,0,0,0,8,42,0,0,2,16,0,0,0,0,4,
T.J. Hockenson,TE,@ PIT,7.00,0,0,0,0,0,0,0,0,0,0,4,39,0,0,0,0,4,
Mack Hollins,WR,vs CAR,7.00,0,0,0,0,0,0,0,0,0,0,1,4,1,0,0,0,4,
Travis Hunter,WR/DB,@ SF,7.00,0,0,0,0,0,0,0,0,0,0,3,42,0,0,0,0,4,
Jerry Jeudy,WR,@ DET,7.00,0,0,0,0,0,0,0,0,0,0,3,48,0,0,0,0,4,
Cole Kmet,TE,@ LV,7.00,0,0,0,0,0,0,0,0,0,0,3,46,0,0,0,0,4,
Jakobi Meyers,WR,@ LV,7.00,0,0,0,0,0,0,0,0,0,0,4,30,0,0,0,0,4,
D.J. Moore,WR,@ LV,7.00,0,0,0,0,0,0,0,0,0,0,4,38,0,0,0,0,4,
Darius Slayton,WR,vs LAC,7.00,0,0,0,0,0,0,0,0,0,0,3,44,0,0,0,0,4,
Jaylen Waddle,WR,vs NYJ,7.00,0,0,0,0,0,0,0,0,0,0,3,48,0,0,0,0,4,
Rachaad White,RB,vs PHI,7.00,0,0,0,0,0,0,6,17,0,0,4,29,0,0,0,0,4,
Elijah Arroyo,TE,@ ARI,6.00,0,0,0,0,0,0,0,0,0,0,2,44,0,0,0,0,4,
Elic Ayomanor,WR,@ HOU,6.00,0,0,0,0,0,0,0,0,0,0,2,44,0,0,0,0,4,
Josh Downs,WR,@ LA,6.00,0,0,0,0,0,0,0,0,0,0,4,24,0,0,0,0,4,
Evan Engram,TE,vs CIN,6.00,0,0,0,0,0,0,0,0,0,0,4,29,0,0,0,0,4,
Zach Ertz,TE,@ ATL,6.00,0,0,0,0,0,0,0,0,0,0,2,21,0,1,0,0,4,
Tee Higgins,WR,@ DEN,6.00,0,0,0,0,0,0,0,0,0,0,3,32,0,0,0,0,4,
Jauan Jennings,WR,vs JAX,6.00,0,0,0,0,0,0,0,0,0,0,2,24,0,1,0,0,4,
Kyle Juszczyk,RB,vs JAX,6.00,0,0,0,0,0,0,0,0,0,0,3,32,0,0,0,0,4,
Cooper Kupp,WR,@ ARI,6.00,0,0,0,0,0,0,0,0,0,0,4,26,0,0,0,0,4,
Sam LaPorta,TE,vs CLE,6.00,0,0,0,0,0,0,0,0,0,0,3,39,0,0,0,0,4,
Brycen Tremayne,WR,@ NE,6.00,0,0,0,0,0,0,0,0,0,0,3,36,0,0,0,0,4,
KaVontae Turpin,WR,vs GB,6.00,0,0,0,0,0,0,1,4,0,0,3,30,0,0,0,0,4,
Jameson Williams,WR,vs CLE,6.00,0,0,0,0,0,0,1,-3,0,0,2,40,0,0,0,0,4,
Jake Browning,QB,@ DEN,5.00,25,14,125,0,0,0,3,4,0,0,0,0,0,0,0,0,4,
Brandin Cooks,WR,vs NO,5.00,0,0,0,0,0,0,0,0,0,0,3,22,0,0,0,0,4,
Chris Godwin,WR,vs PHI,5.00,0,0,0,0,0,0,0,0,0,0,3,26,0,0,0,0,4,
Kareem Hunt,RB,vs BAL,5.00,0,0,0,0,0,0,13,34,0,0,1,13,0,0,0,0,4,
Juwan Johnson,TE,@ BUF,5.00,0,0,0,0,0,0,0,0,0,0,3,28,0,0,0,0,4,
Christian Kirk,WR,vs TEN,5.00,0,0,0,0,0,0,0,0,0,0,3,20,0,0,0,0,4,
Calvin Ridley,WR,@ HOU,5.00,0,0,0,0,0,0,0,0,0,0,2,30,0,0,0,0,4,
Christopher Rodriguez,RB,@ ATL,5.00,0,0,0,0,0,0,7,59,0,0,0,0,0,0,0,0,4,
Brashard Smith,RB,vs BAL,5.00,0,0,0,0,0,0,4,9,0,0,3,27,0,0,0,0,4,
Adam Trautman,TE,vs CIN,5.00,0,0,0,0,0,0,0,0,0,0,2,32,0,0,0,0,4,
Darnell Washington,TE,vs MIN,5.00,0,0,0,0,0,0,0,0,0,0,3,20,0,0,0,0,4,
Savion Williams,WR,@ DAL,5.00,0,0,0,0,0,0,1,1,0,0,3,22,0,0,0,0,4,
Blake Corum,RB,vs IND,4.00,0,0,0,0,0,0,9,21,0,0,2,-5,0,0,0,0,4,
Rico Dowdle,RB,@ NE,4.00,0,0,0,0,0,0,9,32,0,0,1,-2,0,0,0,0,4,
Harold Fannin,TE,@ DET,4.00,0,0,0,0,0,0,1,1,0,0,2,24,0,0,0,0,4,
Ryan Flournoy,WR,vs GB,4.00,0,0,0,0,0,0,1,12,0,0,2,14,0,0,0,0,4,
Tyler Higbee,TE,vs IND,4.00,0,0,0,0,0,0,0,0,0,0,2,25,0,0,0,0,4,
Malik Nabers,WR,vs LAC,4.00,0,0,0,0,0,0,0,0,0,0,2,20,0,0,0,0,4,
Josh Palmer,WR,vs NO,4.00,0,0,0,0,0,0,0,0,0,0,2,25,0,0,0,0,4,
Wan'Dale Robinson,WR,vs LAC,4.00,0,0,0,0,0,0,0,0,0,0,3,14,0,0,0,0,4,
DeVonta Smith,WR,@ TB,4.00,0,0,0,0,0,0,0,0,0,0,2,29,0,0,0,0,4,
Rhamondre Stevenson,RB,vs CAR,4.00,0,0,0,0,0,0,9,38,0,0,1,3,0,0,0,0,4,
Cameron Ward,QB,@ HOU,4.00,26,10,108,0,1,0,2,22,0,0,0,0,0,0,0,0,4,
Michael Wilson,WR,vs SEA,4.00,0,0,0,0,0,0,0,0,0,0,3,15,0,0,0,0,4,
Calvin Austin,WR,vs MIN,3.00,0,0,0,0,0,0,0,0,0,0,2,13,0,0,0,0,4,
Rashod Bateman,WR,@ KC,3.00,0,0,0,0,0,0,0,0,0,0,1,24,0,0,0,0,4,
Isaiah Davis,RB,@ MIA,3.00,0,0,0,0,0,0,3,9,0,0,2,18,0,0,0,0,4,
Trevor Etienne,RB,@ NE,3.00,0,0,0,0,0,0,7,33,0,0,0,0,0,0,0,0,4,
Luke Farrell,TE,vs JAX,3.00,0,0,0,0,0,0,0,0,0,0,2,20,0,0,1,0,4,
Oronde Gadsden,TE,@ NYG,3.00,0,0,0,0,0,0,0,0,0,0,2,16,0,0,0,0,4,
Austin Hooper,TE,vs CAR,3.00,0,0,0,0,0,0,0,0,0,0,1,24,0,0,0,0,4,
Xavier Hutchinson,WR,vs TEN,3.00,0,0,0,0,0,0,0,0,0,0,2,17,0,0,0,0,4,
Andrei Iosivas,WR,@ DEN,3.00,0,0,0,0,0,0,1,5,0,0,1,22,0,0,0,0,4,
Jaylin Lane,WR,@ ATL,3.00,0,0,0,0,0,0,0,0,0,0,2,18,0,0,0,0,4,
John Metchie,WR,@ TB,3.00,0,0,0,0,0,0,0,0,0,0,2,10,0,0,0,0,4,
James Mitchell,TE,@ NE,3.00,0,0,0,0,0,0,0,0,0,0,2,17,0,0,0,0,4,
David Njoku,TE,@ DET,3.00,0,0,0,0,0,0,0,0,0,0,2,11,0,0,0,0,4,
Cade Otton,TE,vs PHI,3.00,0,0,0,0,0,0,0,0,0,0,3,9,0,0,0,0,4,
Colby Parkinson,TE,vs IND,3.00,0,0,0,0,0,0,0,0,0,0,2,17,0,0,0,0,4,
Kalif Raymond,WR,vs CLE,3.00,0,0,0,0,0,0,0,0,0,0,2,13,0,0,0,0,4,
Hunter Renfrow,WR,@ NE,3.00,0,0,0,0,0,0,0,0,0,0,2,10,0,0,0,0,4,
Demarcus Robinson,WR,vs JAX,3.00,0,0,0,0,0,0,0,0,0,0,1,20,0,0,0,0,4,
Jeremy Ruckert,TE,@ MIA,3.00,0,0,0,0,0,0,0,0,0,0,1,23,0,0,0,0,4,
Miles Sanders,RB,vs GB,3.00,0,0,0,0,0,0,2,8,0,0,2,17,0,0,0,0,4,
Sterling Shepard,WR,vs PHI,3.00,0,0,0,0,0,0,1,6,0,0,2,14,0,0,0,0,4,
Adam Thielen,WR,@ PIT,3.00,0,0,0,0,0,0,0,0,0,0,2,11,0,0,0,0,4,
Tre Tucker,WR,vs CHI,3.00,0,0,0,0,0,0,2,9,0,0,2,13,0,0,0,0,4,
Malik Washington,WR,vs NYJ,3.00,0,0,0,0,0,0,2,8,0,0,2,13,0,0,0,0,4,
Dontayvion Wicks,WR,@ DAL,3.00,0,0,0,0,0,0,0,0,0,0,2,19,0,0,0,0,4,
Nate Adkins,TE,vs CIN,2.00,0,0,0,0,0,0,0,0,0,0,2,5,0,0,0,0,4,
Tyler Badie,RB,vs CIN,2.00,0,0,0,0,0,0,0,0,0,0,1,11,0,0,0,0,4,
Daniel Bellinger,TE,vs LAC,2.00,0,0,0,0,0,0,0,0,0,0,1,13,0,0,0,0,4,
Jake Bobo,WR,@ ARI,2.00,0,0,0,0,0,0,0,0,0,0,1,17,0,0,0,0,4,
Kendrick Bourne,WR,vs JAX,2.00,0,0,0,0,0,0,0,0,0,0,1,17,0,0,0,0,4,
Kayshon Boutte,WR,vs CAR,2.00,0,0,0,0,0,0,0,0,0,0,1,18,0,0,0,0,4,
A.J. Brown,WR,@ TB,2.00,0,0,0,0,0,0,0,0,0,0,2,7,0,0,0,0,4,
Luther Burden,WR,@ LV,2.00,0,0,0,0,0,0,0,0,0,0,2,-4,0,0,0,0,4,
Grant Calcaterra,TE,@ TB,2.00,0,0,0,0,0,0,0,0,0,0,1,16,0,0,0,0,4,
Ashton Dulin,WR,@ LA,2.00,0,0,0,0,0,0,1,7,0,0,1,11,0,0,0,0,4,
Joe Flacco,QB,@ DET,2.00,34,16,184,0,2,0,3,-1,0,0,0,0,0,0,1,0,4,
Jackson Hawes,TE,vs NO,2.00,0,0,0,0,0,0,0,0,0,0,1,15,0,0,0,0,4,
Gunnar Helm,TE,@ HOU,2.00,0,0,0,0,0,0,0,0,0,0,1,12,0,0,0,0,4,
Julian Hill,TE,vs NYJ,2.00,0,0,0,0,0,0,0,0,0,0,1,19,0,0,0,0,4,
Tory Horton,WR,@ ARI,2.00,0,0,0,0,0,0,0,0,0,0,1,10,0,0,0,0,4,
Kaleb Johnson,RB,vs MIN,2.00,0,0,0,0,0,0,6,22,0,0,0,0,0,0,0,0,4,
Tay Martin,WR,@ ATL,2.00,0,0,0,0,0,0,0,0,0,0,1,14,0,0,0,0,4,
Ladd McConkey,WR,@ NYG,2.00,0,0,0,0,0,0,0,0,0,0,1,11,0,0,0,0,4,
Darnell Mooney,WR,vs WAS,2.00,0,0,0,0,0,0,0,0,0,0,1,15,0,0,0,0,4,
Brian Robinson,RB,vs JAX,2.00,0,0,0,0,0,0,5,21,0,0,0,0,0,0,0,0,4,
Cooper Rush,QB,@ KC,2.00,13,9,52,0,0,0,0,0,0,0,0,0,0,0,0,0,4,
Luke Schoonmaker,TE,vs GB,2.00,0,0,0,0,0,0,0,0,0,0,2,8,0,0,0,0,4,
Devin Singletary,RB,vs LAC,2.00,0,0,0,0,0,0,7,28,0,0,0,0,0,0,0,0,4,
Jonnu Smith,TE,vs MIN,2.00,0,0,0,0,0,0,0,0,0,0,2,6,0,0,0,0,4,
Bhayshul Tuten,RB,@ SF,2.00,0,0,0,0,0,0,4,14,0,0,1,8,0,0,0,0,4,
Tylan Wallace,WR,@ KC,2.00,0,0,0,0,0,0,0,0,0,0,1,14,0,0,0,0,4,
Casey Washington,WR,vs WAS,2.00,0,0,0,0,0,0,0,0,0,0,1,19,0,0,0,0,4,
Braelon Allen,RB,@ MIA,1.00,0,0,0,0,0,0,4,26,0,0,0,0,0,0,1,0,4,
Davis Allen,TE,vs IND,1.00,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,
LeQuint Allen,RB,@ SF,1.00,0,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0,4,
Christopher Brooks,RB,@ DAL,1.00,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,4,
Tyler Conklin,TE,@ NYG,1.00,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,4,
AJ Dillon,RB,@ TB,1.00,0,0,0,0,0,0,3,17,0,0,0,0,0,0,0,0,4,
