Jalin Hyatt,NYG,WR,24,7,0,0,0,0,0,0,0,0,NULL,0,13,5,35,7.00,0,0,0,0,NULL,NULL,
Tom Kennedy,DET,WR,29,1,0,0,0,0,0,0,0,0,NULL,0,4,4,36,9.00,0,0,0,0,NULL,NULL,
Foster Moreau,NOR,TE,28,8,6,0,0,0,0,0,0,0,NULL,0,8,5,38,7.60,0,0,0,0,NULL,NULL,
Albert Okwuegbunam,LVR,TE,27,1,0,0,0,0,0,0,0,0,NULL,0,6,5,36,7.20,0,0,0,0,NULL,NULL,
Xavier Restrepo,TEN,WR,23,2,0,0,0,0,0,0,0,0,NULL,0,7,3,41,13.67,0,0,0,0,NULL,NULL,
Cade Stover,HOU,TE,25,4,3,0,0,0,0,0,4,3,0.75,0,8,6,38,6.33,0,0,0,0,NULL,NULL,
Marquez Valdes-Scantling,SFO,WR,31,5,0,0,0,0,0,0,0,0,NULL,0,8,4,40,10.00,0,0,0,0,NULL,NULL,
Zamir White,LVR,RB,26,4,0,0,0,0,0,0,10,25,2.50,0,5,3,19,6.33,0,0,0,0,NULL,NULL,
Tyson Bagent,CHI,QB,25,3,0,3,4,47,0,0,2,7,3.50,0,0,0,0,NULL,0,1,0,0,NULL,NULL,
Teddy Bridgewater,TAM,QB,33,4,0,8,15,62,0,0,3,4,1.33,0,0,0,0,NULL,0,0,0,0,NULL,NULL,
Tahj Brooks,CIN,RB,23,11,0,0,0,0,0,0,9,28,3.11,0,1,0,0,NULL,0,0,0,0,NULL,NULL,
Beaux Collins,NYG,WR,23,9,0,0,0,0,0,0,0,0,NULL,0,6,2,25,12.50,0,0,0,0,NULL,NULL,
KhaDarel Hodge,ATL,WR,30,10,1,0,0,0,0,0,0,0,NULL,0,10,3,31,10.33,0,0,0,0,NULL,NULL,
Jacoby Jones,WAS,WR,24,1,0,0,0,0,0,0,0,0,NULL,0,1,1,25,25.00,0,0,0,0,NULL,NULL,
Gage Larvadain,CLE,WR,23,8,0,0,0,0,0,0,1,3,3.00,0,9,4,45,11.25,0,3,1,0,NULL,NULL,
James Mitchell,CAR,TE,26,4,0,0,0,0,0,0,0,0,NULL,0,3,3,28,9.33,0,0,0,0,NULL,NULL,
Quintin Morris,JAX,TE,26,9,2,0,0,0,0,0,0,0,NULL,0,5,2,25,12.50,0,0,0,0,NULL,NULL,
Dare Ogunbowale,HOU,RB,31,12,0,0,0,0,0,0,3,18,6.00,0,6,5,36,7.20,0,1,1,0,NULL,NULL,
Dameon Pierce,HOU,RB,25,4,0,0,0,0,0,0,10,26,2.60,0,1,0,0,NULL,0,0,0,0,NULL,NULL,
Nikko Remigio,KAN,WR,26,12,0,0,0,0,0,0,1,11,11.00,0,1,1,21,21.00,0,1,0,0,NULL,NULL,
Deven Thompkins,ATL,WR,26,2,0,0,0,0,0,0,1,5,5.00,0,2,2,23,11.50,0,0,0,0,NULL,NULL,
Jordan Watkins,SFO,WR,23,3,0,0,0,0,0,0,0,0,NULL,0,3,2,26,13.00,0,0,0,0,NULL,NULL,
Justin Watson,HOU,WR,29,2,0,0,0,0,0,0,0,0,NULL,0,4,3,30,10.00,0,0,0,0,NULL,NULL,
Cedrick Wilson Jr.,MIA,WR,30,5,1,0,0,0,0,0,0,0,NULL,0,4,3,25,8.33,0,0,0,0,NULL,NULL,
Charlie Woerner,ATL,TE,28,12,9,0,0,0,0,0,0,0,NULL,0,6,5,33,6.60,0,0,0,0,NULL,NULL,
Brenden Bates,2TM,TE,26,5,1,0,0,0,0,0,0,0,NULL,0,2,2,23,11.50,0,0,0,0,NULL,NULL,
Jake Bobo,SEA,WR,27,7,0,0,0,0,0,0,0,0,NULL,0,2,2,20,10.00,0,0,0,0,NULL,NULL,
British Brooks,HOU,RB,26,10,2,0,0,0,0,0,4,15,3.75,0,0,0,0,NULL,0,0,0,0,NULL,NULL,
Dylan Drummond,ATL,WR,25,4,0,0,0,0,0,0,0,0,NULL,0,6,4,21,5.25,0,0,0,0,NULL,NULL,
Clyde Edwards-Helaire,KAN,RB,26,2,0,0,0,0,0,0,7,13,1.86,0,2,2,9,4.50,0,0,0,0,NULL,NULL,
Quinn Ewers,MIA,QB,22,1,0,5,8,53,0,0,1,0,0.00,0,0,0,0,NULL,0,2,0,0,NULL,NULL,
Tucker Fisk,LAC,TE,26,10,7,0,0,0,0,0,0,0,NULL,0,4,2,19,9.50,0,0,0,0,NULL,NULL,
Tyler Goodson,IND,RB,25,7,0,0,0,0,0,0,5,12,2.40,0,3,2,8,4.00,0,0,0,0,NULL,NULL,
Evan Hull,NOR,RB,25,1,0,0,0,0,0,0,5,15,3.00,0,0,0,0,NULL,0,0,0,0,NULL,NULL,
Roschon Johnson,CHI,RB,24,7,0,0,0,0,0,0,2,17,8.50,0,0,0,0,NULL,0,0,0,0,NULL,NULL,
Tim Jones,2TM,WR,27,4,0,0,0,0,0,0,0,0,NULL,0,1,1,15,15.00,0,0,0,0,NULL,NULL,
Lucas Krull,DEN,TE,27,3,3,0,0,0,0,0,0,0,NULL,0,4,2,15,7.50,0,0,0,0,NULL,NULL,
Dylan Laube,LVR,RB,26,12,0,0,0,0,0,0,5,5,1.00,0,4,3,18,6.00,0,0,0,0,NULL,NULL,
Tay Martin,WAS,WR,28,3,0,0,0,0,0,0,0,0,NULL,0,2,2,23,11.50,0,0,0,0,NULL,NULL,
David Moore,CAR,WR,30,4,2,0,0,0,0,0,1,12,12.00,0,1,1,5,5.00,0,0,0,0,NULL,NULL,
Tip Reiman,ARI,TE,24,4,3,0,0,0,0,0,0,0,NULL,0,5,3,18,6.00,0,0,0,0,NULL,NULL,
Cooper Rush,BAL,QB,32,4,2,34,52,303,0,4,4,-4,-1.00,0,0,0,0,NULL,0,1,1,0,NULL,NULL,
Trent Sherfield,DEN,WR,29,10,3,0,0,0,0,0,0,0,NULL,0,4,3,21,7.00,0,0,0,0,NULL,NULL,
Mitchell Trubisky,BUF,QB,31,3,0,3,6,54,0,0,4,1,0.25,0,0,0,0,NULL,0,0,0,0,NULL,NULL,
Jared Wayne,HOU,WR,25,1,1,0,0,0,0,0,0,0,NULL,0,2,2,20,10.00,0,0,0,0,NULL,NULL,
Xavier Weaver,ARI,WR,25,7,1,0,0,0,0,0,0,0,NULL,0,8,3,24,8.00,0,0,0,0,NULL,NULL,
